Count,Point,Cross Track,Max Error,x,y
-1,-1,0,0,-1,-1
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0014454471552415797,0.0014454471552415797,0.0,0.0
0,0,0.0014454471552415797,0.0014454471552415797,0.0,0.0
0,0,0.0014454471552415797,0.0014454471552415797,0.0,0.0
0,0,0.0014454471552415797,0.0014454471552415797,0.0,0.0
0,0,0.0014454471552415797,0.0014454471552415797,0.0,0.0
0,0,0.002158627199340559,0.002158627199340559,0.0,0.0
0,0,0.002158627199340559,0.002158627199340559,0.0,0.0
0,0,0.002158627199340559,0.002158627199340559,0.0,0.0
0,0,0.002158627199340559,0.002158627199340559,0.0,0.0
0,0,0.002158627199340559,0.002158627199340559,0.0,0.0
0,0,0.005128445028043417,0.005128445028043417,0.0,0.0
0,0,0.005128445028043417,0.005128445028043417,0.0,0.0
0,0,0.005128445028043417,0.005128445028043417,0.0,0.0
0,0,0.005128445028043417,0.005128445028043417,0.0,0.0
0,0,0.005128445028043417,0.005128445028043417,0.0,0.0
0,0,0.010238261473444508,0.010238261473444508,0.0,0.0
0,0,0.010238261473444508,0.010238261473444508,0.0,0.0
0,0,0.010238261473444508,0.010238261473444508,0.0,0.0
0,0,0.010238261473444508,0.010238261473444508,0.0,0.0
0,0,0.010238261473444508,0.010238261473444508,0.0,0.0
1,0,0.014069282837119137,0.014069282837119137,0.0,0.0
2,0,0.014069282837119137,0.014069282837119137,0.0,0.0
3,0,0.014069282837119137,0.014069282837119137,0.0,0.0
4,0,0.014069282837119137,0.014069282837119137,0.0,0.0
5,0,0.014069282837119137,0.014069282837119137,0.0,0.0
6,0,0.018902136961995924,0.018902136961995924,0.0,0.0
7,0,0.018902136961995924,0.018902136961995924,0.0,0.0
8,0,0.018902136961995924,0.018902136961995924,0.0,0.0
9,0,0.018902136961995924,0.018902136961995924,0.0,0.0
10,0,0.018902136961995924,0.018902136961995924,0.0,0.0
11,0,0.024616659424531423,0.024616659424531423,0.0,0.0
12,0,0.024616659424531423,0.024616659424531423,0.0,0.0
13,0,0.024616659424531423,0.024616659424531423,0.0,0.0
14,0,0.024616659424531423,0.024616659424531423,0.0,0.0
15,0,0.03200044599334774,0.03200044599334774,0.0,0.0
16,0,0.03200044599334774,0.03200044599334774,0.0,0.0
17,0,0.03200044599334774,0.03200044599334774,0.0,0.0
18,0,0.03200044599334774,0.03200044599334774,0.0,0.0
19,0,0.03200044599334774,0.03200044599334774,0.0,0.0
20,0,0.03200044599334774,0.03200044599334774,0.0,0.0
21,0,0.03928170510674613,0.03928170510674613,0.0,0.0
22,0,0.03928170510674613,0.03928170510674613,0.0,0.0
23,0,0.03928170510674613,0.03928170510674613,0.0,0.0
24,0,0.03928170510674613,0.03928170510674613,0.0,0.0
25,0,0.03928170510674613,0.03928170510674613,0.0,0.0
26,0,0.04856440918561366,0.04856440918561366,0.0,0.0
27,0,0.04856440918561366,0.04856440918561366,0.0,0.0
28,0,0.04856440918561366,0.04856440918561366,0.0,0.0
29,0,0.04856440918561366,0.04856440918561366,0.0,0.0
30,0,0.04856440918561366,0.04856440918561366,0.0,0.0
31,1,0.04141394998759471,0.04856440918561366,0.1,0.0
32,1,0.04141394998759471,0.04856440918561366,0.1,0.0
33,1,0.04141394998759471,0.04856440918561366,0.1,0.0
34,1,0.04141394998759471,0.04856440918561366,0.1,0.0
35,1,0.04141394998759471,0.04856440918561366,0.1,0.0
36,1,0.04141394998759471,0.04856440918561366,0.1,0.0
37,1,0.03025921428873081,0.04856440918561366,0.1,0.0
38,1,0.03025921428873081,0.04856440918561366,0.1,0.0
39,1,0.03025921428873081,0.04856440918561366,0.1,0.0
40,1,0.03025921428873081,0.04856440918561366,0.1,0.0
41,1,0.0191676107754654,0.04856440918561366,0.1,0.0
42,1,0.0191676107754654,0.04856440918561366,0.1,0.0
43,1,0.0191676107754654,0.04856440918561366,0.1,0.0
44,1,0.0191676107754654,0.04856440918561366,0.1,0.0
45,1,0.0064830973082669625,0.04856440918561366,0.1,0.0
46,1,0.006992132265110577,0.04856440918561366,0.1,0.0
47,1,0.006992132265110577,0.04856440918561366,0.1,0.0
48,1,0.006992132265110577,0.04856440918561366,0.1,0.0
49,1,0.006992132265110577,0.04856440918561366,0.1,0.0
50,1,0.006992132265110577,0.04856440918561366,0.1,0.0
51,1,0.008179644485903996,0.04856440918561366,0.1,0.0
52,1,0.008179644485903996,0.04856440918561366,0.1,0.0
53,1,0.008179644485903996,0.04856440918561366,0.1,0.0
54,1,0.008179644485903996,0.04856440918561366,0.1,0.0
55,1,0.008179644485903996,0.04856440918561366,0.1,0.0
56,1,0.02148181317784093,0.04856440918561366,0.1,0.0
57,1,0.02148181317784093,0.04856440918561366,0.1,0.0
58,1,0.02148181317784093,0.04856440918561366,0.1,0.0
