Count,Point,Cross Track,Max Error,x,y
2488,196,-0.05774696104692157,0.5389446756775936,19.60000000000001,-1.002665868514416
2489,196,-0.050015194079870685,0.5389446756775936,19.60000000000001,-1.002665868514416
2490,196,-0.04479527754140595,0.5389446756775936,19.60000000000001,-1.002665868514416
2491,196,-0.05129657688035403,0.5389446756775936,19.60000000000001,-1.002665868514416
2492,196,-0.055112659669629104,0.5389446756775936,19.60000000000001,-1.002665868514416
2493,196,-0.01115825018017035,0.5389446756775936,19.60000000000001,-1.002665868514416
2494,196,-0.013150152811220764,0.5389446756775936,19.60000000000001,-1.002665868514416
2495,196,-0.007791207645436416,0.5389446756775936,19.60000000000001,-1.002665868514416
2496,196,-0.020272079262892727,0.5389446756775936,19.60000000000001,-1.002665868514416
2497,196,-0.02563699348612278,0.5389446756775936,19.60000000000001,-1.002665868514416
2498,196,-0.04381229532843543,0.5389446756775936,19.60000000000001,-1.002665868514416
2499,196,-0.04380127575461265,0.5389446756775936,19.60000000000001,-1.002665868514416
2500,196,-0.04186707380534347,0.5389446756775936,19.60000000000001,-1.002665868514416
2501,196,-0.050031256739124876,0.5389446756775936,19.60000000000001,-1.002665868514416
2502,196,-0.04141940977318116,0.5389446756775936,19.60000000000001,-1.002665868514416
2503,196,-0.11762270607116138,0.5389446756775936,19.60000000000001,-1.002665868514416
2504,196,-0.10243502700737946,0.5389446756775936,19.60000000000001,-1.002665868514416
2505,196,-0.10237817256221143,0.5389446756775936,19.60000000000001,-1.002665868514416
2506,196,-0.091961055113373,0.5389446756775936,19.60000000000001,-1.002665868514416
2507,196,-0.09854485704787283,0.5389446756775936,19.60000000000001,-1.002665868514416
2508,197,-0.1321092015753054,0.5389446756775936,19.70000000000001,-0.752866506548091
2509,196,-0.12861866355947785,0.5389446756775936,19.60000000000001,-1.002665868514416
2510,197,-0.1100962002983375,0.5389446756775936,19.70000000000001,-0.752866506548091
2511,197,-0.13180040291966807,0.5389446756775936,19.70000000000001,-0.752866506548091
2512,197,-0.12628715435759671,0.5389446756775936,19.70000000000001,-0.752866506548091
2513,197,-0.08444475197262856,0.5389446756775936,19.70000000000001,-0.752866506548091
2514,197,-0.12393785397079315,0.5389446756775936,19.70000000000001,-0.752866506548091
2515,197,-0.11387369366872753,0.5389446756775936,19.70000000000001,-0.752866506548091
2516,197,-0.08971240345449065,0.5389446756775936,19.70000000000001,-0.752866506548091
2517,197,-0.11492354796300215,0.5389446756775936,19.70000000000001,-0.752866506548091
2518,197,-0.07462889124143764,0.5389446756775936,19.70000000000001,-0.752866506548091
2519,197,-0.10419996292782763,0.5389446756775936,19.70000000000001,-0.752866506548091
2520,197,-0.09778719512833263,0.5389446756775936,19.70000000000001,-0.752866506548091
2521,197,-0.08246690063931958,0.5389446756775936,19.70000000000001,-0.752866506548091
2522,197,-0.08186333735856931,0.5389446756775936,19.70000000000001,-0.752866506548091
