Count,Point,Cross Track,Max Error,x,y
-1,-1,0,0,-1,-1
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0,0,0.0,0.0
0,0,0.0009100433414898102,0.0009100433414898102,0.0,0.0
0,0,0.0009100433414898102,0.0009100433414898102,0.0,0.0
0,0,0.0009100433414898102,0.0009100433414898102,0.0,0.0
0,0,0.0009100433414898102,0.0009100433414898102,0.0,0.0
0,0,0.0009100433414898102,0.0009100433414898102,0.0,0.0
0,0,0.0033869367606761164,0.0033869367606761164,0.0,0.0
0,0,0.0033869367606761164,0.0033869367606761164,0.0,0.0
0,0,0.0033869367606761164,0.0033869367606761164,0.0,0.0
0,0,0.0033869367606761164,0.0033869367606761164,0.0,0.0
0,0,0.0033869367606761164,0.0033869367606761164,0.0,0.0
0,0,0.005187450937095158,0.005187450937095158,0.0,0.0
0,0,0.005187450937095158,0.005187450937095158,0.0,0.0
0,0,0.005187450937095158,0.005187450937095158,0.0,0.0
0,0,0.005187450937095158,0.005187450937095158,0.0,0.0
0,0,0.005187450937095158,0.005187450937095158,0.0,0.0
0,0,0.007409464108608831,0.007409464108608831,0.0,0.0
0,0,0.007409464108608831,0.007409464108608831,0.0,0.0
0,0,0.007409464108608831,0.007409464108608831,0.0,0.0
0,0,0.007409464108608831,0.007409464108608831,0.0,0.0
0,0,0.007409464108608831,0.007409464108608831,0.0,0.0
0,0,0.012163851397468145,0.012163851397468145,0.0,0.0
0,0,0.012163851397468145,0.012163851397468145,0.0,0.0
0,0,0.012163851397468145,0.012163851397468145,0.0,0.0
0,0,0.012163851397468145,0.012163851397468145,0.0,0.0
0,0,0.012163851397468145,0.012163851397468145,0.0,0.0
1,0,0.017051928757862413,0.017051928757862413,0.0,0.0
2,0,0.017051928757862413,0.017051928757862413,0.0,0.0
3,0,0.017051928757862413,0.017051928757862413,0.0,0.0
4,0,0.017051928757862413,0.017051928757862413,0.0,0.0
5,0,0.017051928757862413,0.017051928757862413,0.0,0.0
6,0,0.021503520446292737,0.021503520446292737,0.0,0.0
7,0,0.021503520446292737,0.021503520446292737,0.0,0.0
8,0,0.021503520446292737,0.021503520446292737,0.0,0.0
9,0,0.021503520446292737,0.021503520446292737,0.0,0.0
10,0,0.021503520446292737,0.021503520446292737,0.0,0.0
11,0,0.027396068848318224,0.027396068848318224,0.0,0.0
12,0,0.027396068848318224,0.027396068848318224,0.0,0.0
13,0,0.027396068848318224,0.027396068848318224,0.0,0.0
14,0,0.027396068848318224,0.027396068848318224,0.0,0.0
15,0,0.027396068848318224,0.027396068848318224,0.0,0.0
16,0,0.0352033054186227,0.0352033054186227,0.0,0.0
17,0,0.0352033054186227,0.0352033054186227,0.0,0.0
18,0,0.0352033054186227,0.0352033054186227,0.0,0.0
19,0,0.0352033054186227,0.0352033054186227,0.0,0.0
20,0,0.0352033054186227,0.0352033054186227,0.0,0.0
21,0,0.04285425284013055,0.04285425284013055,0.0,0.0
22,0,0.04285425284013055,0.04285425284013055,0.0,0.0
23,0,0.04285425284013055,0.04285425284013055,0.0,0.0
24,0,0.04285425284013055,0.04285425284013055,0.0,0.0
25,0,0.04285425284013055,0.04285425284013055,0.0,0.0
26,1,0.04754729939808867,0.04754729939808867,0.1,0.0
27,1,0.04754729939808867,0.04754729939808867,0.1,0.0
28,1,0.04754729939808867,0.04754729939808867,0.1,0.0
29,1,0.04754729939808867,0.04754729939808867,0.1,0.0
30,1,0.04754729939808867,0.04754729939808867,0.1,0.0
31,1,0.03723580285995639,0.04754729939808867,0.1,0.0
32,1,0.03723580285995639,0.04754729939808867,0.1,0.0
33,1,0.03723580285995639,0.04754729939808867,0.1,0.0
34,1,0.03723580285995639,0.04754729939808867,0.1,0.0
35,1,0.03723580285995639,0.04754729939808867,0.1,0.0
36,1,0.02361800632594029,0.04754729939808867,0.1,0.0
37,1,0.02361800632594029,0.04754729939808867,0.1,0.0
38,1,0.02361800632594029,0.04754729939808867,0.1,0.0
39,1,0.02361800632594029,0.04754729939808867,0.1,0.0
40,1,0.02361800632594029,0.04754729939808867,0.1,0.0
41,1,0.02361800632594029,0.04754729939808867,0.1,0.0
42,1,0.02361800632594029,0.04754729939808867,0.1,0.0
43,1,0.012234898792201472,0.04754729939808867,0.1,0.0
44,1,0.012234898792201472,0.04754729939808867,0.1,0.0
45,1,0.012234898792201472,0.04754729939808867,0.1,0.0
46,1,0.0038668654331308868,0.04754729939808867,0.1,0.0
47,1,0.0038668654331308868,0.04754729939808867,0.1,0.0
48,1,0.0038668654331308868,0.04754729939808867,0.1,0.0
49,1,0.0038668654331308868,0.04754729939808867,0.1,0.0
50,1,0.0038668654331308868,0.04754729939808867,0.1,0.0
51,1,0.013126931698721723,0.04754729939808867,0.1,0.0
52,1,0.013126931698721723,0.04754729939808867,0.1,0.0
